adduser	3.113+nmu3ubuntu4
ant	1.9.6-1ubuntu1
ant-optional	1.9.6-1ubuntu1
apt	1.2.12~ubuntu16.04.1
apt-file	2.5.5ubuntu1
apt-utils	1.2.12~ubuntu16.04.1
at	3.1.18-2ubuntu1
atom	1.10.2
autoconf	2.69-9
automake	1:1.15-4ubuntu1
base-files	9.4ubuntu4.2
base-passwd	3.5.39
bash	4.3-14ubuntu1.1
binutils-arm-linux-gnueabihf	2.26.1-1ubuntu1~16.04.3
binutils-mingw-w64-i686	2.26-3ubuntu1+6.6
bison	2:3.0.4.dfsg-1
bsdutils	1:2.27.1-6ubuntu3.1
busybox-initramfs	1:1.22.0-15ubuntu1
bzip2	1.0.6-8
bzip2-doc	1.0.6-8
ca-certificates-java	20160321
cabextract	1.6-1
cdbs	0.4.130ubuntu2
chromium-browser	52.0.2743.116-0ubuntu0.16.04.1.1250
cmake	3.5.1-1ubuntu2
comerr-dev	2.1-1.42.13-1ubuntu1
compiz-plugins:amd64	1:0.9.12.2+16.04.20160823-0ubuntu1
compizconfig-settings-manager	1:0.9.12.2+16.04.20160823-0ubuntu1
console-setup	1.108ubuntu15.2
console-setup-linux	1.108ubuntu15.2
coreutils	8.25-2ubuntu2
cpio	2.11+dfsg-5ubuntu1
cpp-5-arm-linux-gnueabihf	5.4.0-6ubuntu1~16.04.1cross1
cpp-arm-linux-gnueabihf	4:5.3.1-1ubuntu1
cron	3.0pl1-128ubuntu2
cscope	15.8b-1build1
dash	0.5.8-2.1ubuntu2
dctrl-tools	2.24-2
debconf	1.5.58ubuntu1
debconf-i18n	1.5.58ubuntu1
debhelper	9.20160115ubuntu3
debian-policy	3.9.8.0
debianutils	4.7
debugedit	4.12.0.1+dfsg1-3build3
default-jre-headless	2:1.8-56ubuntu2
devscripts	2.16.2ubuntu3
dh-python	2.20151103ubuntu1.1
dh-strip-nondeterminism	0.015-1
dh-translations	129
diffutils	1:3.3-3
distro-info-data	0.28ubuntu0.1
doc-base	0.10.7
docker-engine	1.12.1-0~xenial
dpkg	1.18.4ubuntu1.1
dput	0.9.6.4ubuntu3
dropbox	2015.10.28
e2fslibs:amd64	1.42.13-1ubuntu1
e2fsprogs	1.42.13-1ubuntu1
efibootmgr	0.12-4
eject	2.1.5+deb1+cvs20081104-13.1
elfutils	0.165-3ubuntu1
emacs24	24.5+1-6ubuntu1
ffmpeg	7:2.8.6-1ubuntu2
file	1:5.25-2ubuntu1
findutils	4.6.0+git+20160126-2
firefox-locale-en	49.0+build4-0ubuntu0.16.04.1
flex	2.6.0-11
fonts-beng	2:1.2
fonts-beng-extra	1.0-5
fonts-deva	2:1.2
fonts-deva-extra	3.0-3
fonts-gargi	2.0-4
fonts-gubbi	1.3-3
fonts-gujr	2:1.2
fonts-gujr-extra	1.0-4
fonts-indic	2:1.2
fonts-kalapi	1.0-2
fonts-knda	2:1.2
fonts-lato	2.0-1
fonts-lohit-beng-assamese	2.5.3-1
fonts-lohit-beng-bengali	2.5.3-1
fonts-lohit-deva	2.5.3-1
fonts-lohit-gujr	2.92.2-1
fonts-lohit-knda	2.5.3-2
fonts-lohit-mlym	2.5.4-1
fonts-lohit-orya	2.5.4.1-1
fonts-lohit-taml	2.5.3-1
fonts-lohit-taml-classical	2.5.3-2
fonts-lohit-telu	2.5.3-1
fonts-mlym	2:1.2
fonts-nakula	1.0-3
fonts-navilu	1.2-2
fonts-orya	2:1.2
fonts-orya-extra	2.0-3
fonts-pagul	1.0-7
fonts-sahadeva	1.0-3
fonts-samyak-deva	1.2.2-4
fonts-samyak-gujr	1.2.2-4
fonts-samyak-mlym	1.2.2-4
fonts-samyak-taml	1.2.2-4
fonts-sarai	1.0-2
fonts-smc	6.0-1
fonts-taml	2:1.3
fonts-telu	2:1.2
fonts-telu-extra	2.0-3
fwupdate	0.5-2ubuntu4
fwupdate-signed	1.11+0.5-2ubuntu4
g++-5-arm-linux-gnueabihf	5.4.0-6ubuntu1~16.04.1cross1
g++-5-multilib	5.4.0-6ubuntu1~16.04.2
g++-5-multilib-arm-linux-gnueabihf	5.4.0-6ubuntu1~16.04.1cross1
g++-arm-linux-gnueabihf	4:5.3.1-1ubuntu1
g++-mingw-w64-i686	5.3.1-8ubuntu3+17
gawk	1:4.1.3+dfsg-0.1
gcc-4.9-base:amd64	4.9.3-13ubuntu2
gcc-5-arm-linux-gnueabihf	5.4.0-6ubuntu1~16.04.1cross1
gcc-5-arm-linux-gnueabihf-base:amd64	5.4.0-6ubuntu1~16.04.1cross1
gcc-5-base:amd64	5.4.0-6ubuntu1~16.04.2
gcc-5-base:i386	5.4.0-6ubuntu1~16.04.2
gcc-5-cross-base	5.4.0-6ubuntu1~16.04.1cross1
gcc-5-multilib	5.4.0-6ubuntu1~16.04.2
gcc-5-multilib-arm-linux-gnueabihf	5.4.0-6ubuntu1~16.04.1cross1
gcc-6-base:amd64	6.0.1-0ubuntu1
gcc-6-base:i386	6.0.1-0ubuntu1
gcc-arm-linux-gnueabihf	4:5.3.1-1ubuntu1
gcc-mingw-w64-base	5.3.1-8ubuntu3+17
gcc-mingw-w64-i686	5.3.1-8ubuntu3+17
giblib1:amd64	1.2.4-11
gir1.2-gconf-2.0	3.2.6-3ubuntu6
gir1.2-gtk-2.0	2.24.30-1ubuntu1
git	1:2.7.4-0ubuntu1
git-core	1:2.7.4-0ubuntu1
git-svn	1:2.7.4-0ubuntu1
gnome-terminal	3.18.3-1ubuntu1
gnome-tweak-tool	3.18.1-1
gnupg	1.4.20-1ubuntu3.1
gperf	3.0.4-2
gpgv	1.4.20-1ubuntu3.1
grep	2.25-1~16.04.1
grub-common	2.02~beta2-36ubuntu3.1
grub-efi-amd64-signed	1.66.1+2.02~beta2-36ubuntu3.1
grub2-common	2.02~beta2-36ubuntu3.1
gtk-recordmydesktop	0.3.8-4.1ubuntu1
gzip	1.6-4ubuntu1
hostname	3.16ubuntu2
htop	2.0.1-1ubuntu1
hyphen-en-us	2.8.8-2ubuntu1
ibus-mozc	2.17.2116.102+gitfd0f5b34+dfsg-1ubuntu1.1
icu-devtools	55.1-7
ifupdown	0.8.10ubuntu1
init	1.29ubuntu2
init-system-helpers	1.29ubuntu2
initramfs-tools	0.122ubuntu8.1
initramfs-tools-bin	0.122ubuntu8.1
initramfs-tools-core	0.122ubuntu8.1
initscripts	2.88dsf-59.3ubuntu2
insserv	1.14.0-5ubuntu3
intel-microcode	3.20151106.1
intltool	0.51.0-2
iproute2	4.3.0-1ubuntu3
iputils-ping	3:20121221-5ubuntu2
isc-dhcp-client	4.3.3-5ubuntu12.1
isc-dhcp-common	4.3.3-5ubuntu12.1
java-common	0.56ubuntu2
javascript-common	11
kbd	1.15.5-1ubuntu4
keyboard-configuration	1.108ubuntu15.2
klibc-utils	2.0.4-8ubuntu1.16.04.1
kmod	22-1ubuntu4
krb5-multidev	1.13.2+dfsg-5
language-pack-da	1:16.04+20160627
language-pack-da-base	1:16.04+20160627
language-pack-en	1:16.04+20160627
language-pack-en-base	1:16.04+20160627
language-pack-fr	1:16.04+20160627
language-pack-fr-base	1:16.04+20160627
language-pack-gnome-en	1:16.04+20160627
language-pack-gnome-en-base	1:16.04+20160627
language-pack-he	1:16.04+20160627
language-pack-he-base	1:16.04+20160627
language-pack-zh-hant	1:16.04+20160627
language-pack-zh-hant-base	1:16.04+20160627
less	481-2.1
lib32asan2	5.4.0-6ubuntu1~16.04.2
lib32atomic1	5.4.0-6ubuntu1~16.04.2
lib32cilkrts5	5.4.0-6ubuntu1~16.04.2
lib32gcc-5-dev	5.4.0-6ubuntu1~16.04.2
lib32gcc1	1:6.0.1-0ubuntu1
lib32gomp1	5.4.0-6ubuntu1~16.04.2
lib32itm1	5.4.0-6ubuntu1~16.04.2
lib32mpx0	5.4.0-6ubuntu1~16.04.2
lib32ncurses5	6.0+20160213-1ubuntu1
lib32ncurses5-dev	6.0+20160213-1ubuntu1
lib32quadmath0	5.4.0-6ubuntu1~16.04.2
lib32stdc++-5-dev	5.4.0-6ubuntu1~16.04.2
lib32stdc++6	5.4.0-6ubuntu1~16.04.2
lib32tinfo-dev	6.0+20160213-1ubuntu1
lib32tinfo5	6.0+20160213-1ubuntu1
lib32ubsan0	5.4.0-6ubuntu1~16.04.2
lib32z1	1:1.2.8.dfsg-2ubuntu4
